Run	Year	A. Progress Ratio	A. Annual Production	A. Cumulative Subsidies	B. Progress Ratio	B. Annual Production	B. Cumulative Subsidies
268	2030	0.6525	16179166984.8	12111616945.202	0.6525	399118436.221	1048676547.45
269	2015	0.6525	0	0	0.6525	0	158486735.484
269	2020	0.6525	15332969.0244	750690411.1642	0.6525	13262647.4406	532765092.9286
269	2025	0.6525	5839593573.66	3998847472.242	0.6525	131014264.279	725571718.656
269	2030	0.6525	16420588627.6	12330399217.002	0.6525	154661947.426	835051130.952
270	2015	0.6525	0	0	0.6525	0	158667171.375
270	2020	0.6525	15332969.0244	750716394.2032	0.6525	13233712.5705	385889726.277
270	2025	0.6525	5937671001.21	4016358095.761	0.6525	77889485.6471	710749246.283
270	2030	0.6525	16524471682.7	12417791701.741	0.6525	94904605.713	776822491.111
271	2015	0.6525	0	0	0.6525	0	158814857.154
271	2020	0.6525	15332969.0244	750716394.2032	0.6525	13189951.2963	385079235.1269
271	2025	0.6525	5968645298.26	4022570895.061	0.6525	28285009.9609	695934973.439
271	2030	0.6525	16558685744.3	12456193761.841	0.6525	37974720.9236	721157614.692
272	2015	0.6525	0	0	0.6525	0	159003621.123
272	2020	0.6525	15332969.0244	750716394.2032	0.6525	13159968.9015	385488270.4808
272	2025	0.6525	6001877251.05	4024064638.871	0.6525	15191510.2716	552841209.563
272	2030	0.6525	16593373105.8	12469926436.641	0.6525	21015433.8611	566607172.319
273	2015	0.6525	0	0	0.6525	0	159195805.535
273	2020	0.6525	15332969.0244	750716394.2032	0.6525	13132248.9767	385850431.1702
273	2025	0.6525	6002310394.11	4026191433.751	0.6525	14699533.8454	549814935.225
273	2030	0.6525	16593544394.4	12478463487.441	0.6525	20471237.382	563188926.916
274	2015	0.6525	0	0	0.6525	0	159361536.367
274	2020	0.6525	15332969.0244	750716394.2032	0.6525	13088745.186	385137554.434
274	2025	0.6525	6002783917.03	4032662383.831	0.6525	14187519.7703	545644441.385
274	2030	0.6525	16593697887.4	12488236943.041	0.6525	19902125.1563	558609714.717
275	2015	0.6525	0	0	0.6525	0	159562770.162
275	2020	0.6525	15332969.0244	750716394.2032	0.6525	13056112.3206	385624199.7501
275	2025	0.6525	6002847245.57	4033017387.011	0.6525	13649339.204	543869382.653
275	2030	0.6525	16593685892.9	12489218784.941	0.6525	19286375.6131	556398083.723
276	2015	0.6525	0	0	0.6525	0	159742184.441
276	2020	0.6525	15332969.0244	750716394.2032	0.6525	13012923.6681	384984427.3258
276	2025	0.6525	6002938790.43	4033288992.071	0.6525	13100788.4376	539782358.681
276	2030	0.6525	16593779748.9	12492049538.541	0.6525	18659556.9829	551866876.632
277	2015	0.6525	0	0	0.6525	0	159953032.743
277	2020	0.6525	15332969.0244	750716394.2032	0.6525	12981226.382	385478389.0932
277	2025	0.6525	6003153597.16	4034166679.841	0.6525	12536332.1294	536895754.719
277	2030	0.6525	16593783459.3	12493276272.441	0.6525	18001583.593	548518289.43
278	2015	0.6525	0	0	0.6525	0	160146929.84
278	2020	0.6525	15332969.0244	750716394.2032	0.6525	12926829.2505	384923058.3994
278	2025	0.6525	6003275963.18	4139254106.001	0.6525	11928748.4774	535013452.314
278	2030	0.6525	16593902131.6	12601266665.141	0.6525	17290730.7086	546137997.449
279	2015	0.6525	0	0	0.6525	0	160367997.072
279	2020	0.6525	15329699.5699	750899329.7983	0.6525	12895961.0222	385455419.6781
279	2025	0.6525	6003368040.99	4142784590.395	0.6525	11337958.9577	531078896.495
279	2030	0.6525	16593937035.4	12604842407.315	0.6525	16588308.3228	541715362.791
280	2015	0.6525	0	0	0.6525	0	160577241.236
280	2020	0.6525	15329699.5699	750899329.7983	0.6525	12726309.1207	384340407.5239
280	2025	0.6525	6033676042.67	4143170114.955	0.6525	10733209.818	526228900.714
280	2030	0.6525	16593909282.3	12605668025.515	0.6525	15863047.6707	536363831.169
281	2015	0.6525	0	0	0.6525	0	160809174.084
281	2020	0.6525	15329699.5699	750899329.7983	0.6525	12705852.6436	385055086.8649
281	2025	0.6525	6003398998.11	4142949336.825	0.6525	10083681.7758	522445635.347
281	2030	0.6525	16593921443.8	12604992212.115	0.6525	15080933.708	532041026.426
282	2015	0.6525	0	0	0.6525	0	161034699.112
282	2020	0.6525	15329699.5699	750899329.7983	0.6525	12685961.3361	384788802.4636
282	2025	0.6525	6033676042.67	4143170114.955	0.6525	9443536.53575	517781880.356
282	2030	0.6525	16593909282.3	12605668025.515	0.6525	14300442.3332	526842420.883
283	2015	0.6525	0	0	0.6525	0	161278189.729
283	2020	0.6525	15329699.5699	750899329.7983	0.6525	12664485.4636	385658693.7699
283	2025	0.6525	6033676042.67	4143170114.955	0.6525	8792237.07219	514321839.218
283	2030	0.6525	16593909282.3	12605668025.515	0.6525	13498742.7056	522835852.362
284	2015	0.67	0	0	0.67	0	157617041.451
284	2020	0.67	15309203.7784	749828104.1115	0.67	13521584.9658	534152853.477
284	2025	0.67	2741243113.68	3350937254.96	0.67	2473161842.11	1272266550.963
284	2030	0.67	10534060093	8817638167.23	0.67	5049655910.31	3642825984.916
285	2015	0.67	0	0	0.67	0	157726482.006
285	2020	0.67	15309203.7784	749828104.1115	0.67	13469248.2087	533478370.3358
285	2025	0.67	3001535071.97	3393419141.26	0.67	2166698298.26	1213914633.136
285	2030	0.67	11871854921.5	9272922867.84	0.67	3761220896.72	3164816058.712
286	2015	0.67	0	0	0.67	0	157888850.034
286	2020	0.67	15309203.7784	749828104.1115	0.67	13441247.8833	533906891.4654
286	2025	0.67	3230354061.34	3430561445.1	0.67	1901031936.16	1023033183.019
286	2030	0.67	12935567753.5	9626052065.94	0.67	2741129947.77	2642030135.454
287	2015	0.67	0	0	0.67	0	158054046.604
287	2020	0.67	15308012.7871	749914885.9841	0.67	13412425.0693	534382818.6096
287	2025	0.67	3536975396.22	3625452287.025	0.67	1601186048.91	973496627.246
287	2030	0.67	13709059712.6	10106519050.915	0.67	1987910480.19	2298688793.411
288	2015	0.67	0	0	0.67	0	158178420.114
288	2020	0.67	15308012.7871	749914885.9841	0.67	13361505.2466	533781151.5385
288	2025	0.67	3859719674.39	3674007295.639	0.67	1246588645.7	916003865.313
288	2030	0.67	14294083450.7	10450457264.329	0.67	1422795731.45	1932024631.826
289	2015	0.67	0	0	0.67	0	158351010.489
289	2020	0.67	15308012.7871	749914885.9841	0.67	13336358.6382	534231425.6637
289	2025	0.67	4245004623.16	3720776512.073	0.67	789734386.265	854029422.309
289	2030	0.67	14741987196.3	10810047627.233	0.67	891027843.174	1501331393.351
